year,SI,FSI_2.2,FSI_1.7,lst.frz_2.2,lst.frz_1.7,frz.days_2.2,frz.days_1.7,,,Year,SI_leaf,FSI,frz.temp
1981,97,,,,,,,,,2001,114,-5,low
1982,115,,,,,,,,,2001,114,5,high
1983,113,,,,,,,,,2002,105,12,low
1984,117,,,,,,,,,2002,105,12,high
1985,111,,,,,,,,,2003,109,6,low
1986,105,,,,,,,,,2003,109,6,high
1987,104,,,,,,,,,2004,111,-12,low
1988,113,,,,,,,,,2004,111,-10,high
1989,117,,,,,,,,,2005,107,-4,low
1990,113,,,0,-,,,,,2005,107,5,high
1991,100,,,123,-,,,,,2006,106,10,low
1992,118,,,129,-,,,,,2006,106,10,high
1993,109,,,119,-,,,,,2007,114,-13,low
1994,109,,,123,-,,,,,2007,114,-13,high
1995,110,,,129,-,,,,,2008,113,9,low
1996,117,,,135,-,,,,,2008,113,9,high
1997,113,,,0,-,,,,,2009,113,-10,low
1998,103,,,118,-,,,,,2009,113,-10,high
1999,107,,,118,-,,,,,2010,97,-10,low
2000,101,,,123,-,,,,,2010,97,-10,high
2001,114,-5,5,109,119,0,1,,,2011,113,-1,low
2002,105,12,12,117,117,3,3,,,2011,113,-1,high
2003,109,6,6,115,115,1,1,,,2012,85,13,low
2004,111,-12,-10,99,101,0,0,,,2012,85,35,high
2005,107,-4,5,103,112,0,1,,,2013,113,-2,low
2006,106,10,10,116,116,1,1,,,2013,113,-1,high
2007,114,-13,-13,101,101,0,0,,,2014,113,-5,low
2008,113,9,9,122,122,1,1,,,2014,113,-3,high
2009,113,-10,-10,103,103,0,0,,,,,,
2010,97,-10,-10,87,87,0,0,,,,,,
2011,113,-1,-1,112,112,0,0,,,,,,
2012,85,13,35,98,120,7,10,,,,,,
2013,113,-2,-1,111,112,0,0,,,,,,
2014,113,-5,-3,108,110,0,0,,,,,,
