"sp","term","df","sumsq","meansq","statistic","p.value"
"ACEPEN","chilling",1,58.4336065573769,58.4336065573769,3.24631147540983,0.322566023691815
"ACEPEN","force",1,8.09972677595629,8.09972677595629,0.449984820886461,0.623843691693697
"ACEPEN","photoperiod",1,192.666666666667,192.666666666667,10.7037037037037,0.188845422857524
"ACEPEN","Residuals",1,18,18,NA,NA
"ACERUB","chilling",1,77.7166755177908,77.7166755177908,1.79621756995556,0.194491847715496
"ACERUB","force",1,207.531878175042,207.531878175042,4.79655625282829,0.0399444351096973
"ACERUB","photoperiod",1,428.395097846596,428.395097846596,9.90123157621089,0.00486982508461901
"ACERUB","chilling:force",1,0.00947492319869005,0.00947492319869005,0.00021898805385172,0.988332832190562
"ACERUB","chilling:photoperiod",1,149.048542927454,149.048542927454,3.44486700954264,0.0775368697952777
"ACERUB","force:photoperiod",1,19.1230596242398,19.1230596242398,0.441979478143066,0.513403833001618
"ACERUB","Residuals",21,908.60384241425,43.2668496387738,NA,NA
"ACESAC","chilling",1,0.500000000000001,0.500000000000001,NA,NA
"ALNINC","force",1,2.25,2.25,0.500000000000003,0.608173447969392
"ALNINC","photoperiod",1,50,50,11.1111111111112,0.185547158155484
"ALNINC","Residuals",1,4.49999999999998,4.49999999999998,NA,NA
"BETALL","chilling",1,397.493212669684,397.493212669684,8.19573634370481,0.103428991944244
"BETALL","force",1,5.94597651950586,5.94597651950586,0.12259745401043,0.759670597824344
"BETALL","photoperiod",1,97.4892511777837,97.4892511777837,2.01008765315018,0.292004389406243
"BETALL","chilling:force",1,6.28584534731336,6.28584534731336,0.129605058707492,0.753304378365275
"BETALL","chilling:photoperiod",1,157.785714285714,157.785714285714,3.25331369661265,0.213051515652327
"BETALL","Residuals",2,97.0000000000001,48.5,NA,NA
"BETPAP","chilling",1,168.2,168.2,2.81942255812744e+31,1.19894714502657e-16
"BETPAP","force",1,225,225,3.77152244696002e+31,1.03662522951403e-16
"BETPAP","photoperiod",1,2,2,3.3524643972978e+29,1.09950709400765e-15
"BETPAP","Residuals",1,5.9657605957339e-30,5.9657605957339e-30,NA,NA
"CORCOR","force",1,170.666666666667,170.666666666667,8.27140549273023,0.0347498597238558
"CORCOR","photoperiod",1,28.1666666666666,28.1666666666666,1.36510500807755,0.295327210294687
"CORCOR","Residuals",5,103.166666666666,20.6333333333333,NA,NA
"FRANIG","force",1,279.075,279.075,23.6671378091874,0.00825009204421723
"FRANIG","photoperiod",1,39.6214285714285,39.6214285714285,3.36012115093389,0.140726351212137
"FRANIG","force:photoperiod",1,22.0119047619049,22.0119047619049,1.86673397274106,0.243618172215224
"FRANIG","Residuals",4,47.1666666666664,11.7916666666666,NA,NA
"ILEMUC","chilling",1,37.176113129898,37.176113129898,0.669941696373327,0.423219302974214
"ILEMUC","force",1,54.6371999223981,54.6371999223981,0.984603696282124,0.333534495857223
"ILEMUC","photoperiod",1,11.9703577373282,11.9703577373282,0.215714906523989,0.647602416937136
"ILEMUC","chilling:force",1,26.9948955967354,26.9948955967354,0.486468450488799,0.493954139074975
"ILEMUC","chilling:photoperiod",1,104.895302298114,104.895302298114,1.89029274033156,0.185167047706083
"ILEMUC","force:photoperiod",1,264.601782649929,264.601782649929,4.76832439455153,0.0417325424648641
"ILEMUC","Residuals",19,1054.33973328098,55.4915649095254,NA,NA
"POPGRA","chilling",1,40.4544466188301,40.4544466188301,2.35615418852684,0.135628702883736
"POPGRA","force",1,31.1480325796757,31.1480325796757,1.8141285707963,0.188445731024589
"POPGRA","photoperiod",1,343.289079330962,343.289079330962,19.9938960916272,0.000109866376295811
"POPGRA","chilling:force",1,79.0238424756046,79.0238424756046,4.60251895661119,0.0404300080254733
"POPGRA","chilling:photoperiod",1,219.029274093394,219.029274093394,12.7567371376409,0.00126204878967966
"POPGRA","force:photoperiod",1,39.0230855133335,39.0230855133335,2.27278863181099,0.142480361928132
"POPGRA","Residuals",29,497.921128277089,17.1696940785203,NA,NA
"PRUPEN","force",1,7.99999999999999,7.99999999999999,NA,NA
"QUERUB","chilling",1,74.186769845232,74.186769845232,1.68903299293897,0.205585296657899
"QUERUB","force",1,0.0486883324349174,0.0486883324349174,0.00110850223059067,0.973704397851334
"QUERUB","photoperiod",1,242.650271702655,242.650271702655,5.5244933228176,0.0269472249274719
"QUERUB","chilling:force",1,1.86776338021681,1.86776338021681,0.0425239429991461,0.838294431977705
"QUERUB","chilling:photoperiod",1,1.6513810115274,1.6513810115274,0.0375974990985806,0.847820506998255
"QUERUB","force:photoperiod",1,9.0293958787991,9.0293958787991,0.205575031470103,0.65416909524189
"QUERUB","Residuals",25,1098.06572984913,43.9226291939654,NA,NA
"VACMYR","force",1,520.833333333334,520.833333333334,2.33252472476208,0.201409025127333
"VACMYR","photoperiod",1,100.059523809524,100.059523809524,0.448111321408577,0.53988963871043
"VACMYR","force:photoperiod",1,657.440476190472,657.440476190472,2.94431263828537,0.161322416206016
"VACMYR","Residuals",4,893.166666666669,223.291666666667,NA,NA
