ID,Location,Collection Date,Sow Date,Pot Date,Raised Beds,Up-Pot Date,New ID
ACEPEN05_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,
ACEPEN05_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,
ACEPEN05_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,
ACEPEN05_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,
ACEPEN05_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,
ACEPEN06_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,
ACEPEN06_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,
ACEPEN06_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,
ACEPEN06_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,
ACEPEN06_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,
ACEPEN06_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,
ACEPEN06_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,20-Oct-16,
ACEPEN12_HF,RB,UNK,5-Mar-15,10-Apr-15,30-Jun-15,20-Oct-16,
ACEPEN12_HF,RB,UNK,5-Mar-15,10-Apr-15,30-Jun-15,20-Oct-16,
ACEPEN12_HF,RB,UNK,5-Mar-15,10-Apr-15,30-Jun-15,20-Oct-16,
ALNINC01_HF,RB,UNK,5-Mar-15,10-Apr-15,30-Jun-15,20-Oct-16,
ALNINC01_WM,GH,15-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,
ALNINC01_WM,GH,15-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,
ALNINC01_WM,GH,15-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,
ALNINC01_WM,GH,15-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,
ALNINC01_WM,GH,15-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,
ALNINC02_HF,RB,UNK,5-Mar-15,10-Apr-15,30-Jun-15,20-Oct-16,
ALNINC02_HF,RB,UNK,5-Mar-15,10-Apr-15,30-Jun-15,20-Oct-16,
ALNINC02_WM,GH,17-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,
ALNINC02_WM,GH,17-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,
ALNINC02_WM,GH,17-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,
