STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650101,14.4,3.3
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650102,6.7,1.7
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650103,17.2,1.7
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650104,8.3,-2.8
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650105,12.2,-1.7
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650106,15.0,1.1
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650107,12.8,-2.2
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650108,12.8,-1.1
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650109,18.9,7.8
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650110,20.0,1.7
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650111,2.8,-2.8
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650112,5.6,-4.4
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650113,10.0,-3.9
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650114,10.0,-1.7
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650115,6.1,-8.3
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650116,-1.1,-8.3
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650117,-3.9,-8.3
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650118,-1.1,-9.4
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650119,1.7,-11.1
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650120,1.7,-9.4
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650121,8.9,-3.9
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650122,13.9,-0.6
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650123,17.2,2.8
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650124,17.8,2.8
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650125,8.3,1.7
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650126,15.0,2.2
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650127,15.0,0.0
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650128,7.2,-6.1
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650129,11.1,-3.9
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650130,11.7,-6.7
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650131,-6.7,-8.9
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650201,-1.7,-12.2
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650202,4.4,-6.7
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650203,0.0,-10.6
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650204,0.6,-10.0
GHCND:USC00317202,REIDSVILLE 2 NW NC US,19650205,2.8,-8.3
