STATION,STATION_NAME,DATE,TAVG,TMAX,TMIN
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730101,0.2,-9999,-6
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730102,2.2,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730103,3.1,7,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730104,1.3,-9999,-2
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730105,5.4,-9999,2
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730106,3.9,6,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730107,2.9,-9999,-1
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730108,-0.3,3,-2
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730109,-2.3,-1,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730110,-0.2,3,-3
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730111,-3.2,-1,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730112,-0.1,2,-5
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730113,1.6,2,1
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730114,1.7,2,1
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730115,1.6,2,1
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730116,1.4,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730117,1.2,2,0
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730118,0.5,2,-1
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730119,-0.4,-9999,-2
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730120,0.1,1,-1
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730121,1.4,-9999,0
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730122,1.4,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730123,1.2,2,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730124,1.1,-9999,-1
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730125,2.6,-9999,2
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730126,4.9,6,2
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730127,3.6,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730128,1.8,5,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730129,4.5,-9999,-1
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730130,1.5,2,1
