Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Plant_Nickname,Phenophase_ID,Phenophase_Category,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No,NumYs_in_Series,NumDays_in_Series,Observed_Status_Conflict_Flag
2,43.08535,-70.69133,12,ME,3,Acer,rubrum,red maple,Plantae,9,Red maple,371,Leaves,Budburst,2014,5,5,125,2456783,3,2014,5,12,132,2456790,4,3,8,-9999
2,43.08535,-70.69133,12,ME,3,Acer,rubrum,red maple,Plantae,9,Red maple,467,Leaves,Increasing leaf size,2014,5,8,128,2456786,3,2014,5,29,149,2456807,8,5,22,-9999
2,43.08535,-70.69133,12,ME,3,Acer,rubrum,red maple,Plantae,9,Red maple,471,Leaves,Falling leaves,2014,8,29,241,2456899,13,2014,8,29,241,2456899,18,1,1,-9999
2,43.08535,-70.69133,12,ME,3,Acer,rubrum,red maple,Plantae,9,Red maple,471,Leaves,Falling leaves,2014,10,18,291,2456949,4,2014,11,13,317,2456975,5,5,27,-9999
2,43.08535,-70.69133,12,ME,3,Acer,rubrum,red maple,Plantae,9,Red maple,483,Leaves,Leaves,2014,5,8,128,2456786,3,2014,11,8,312,2456970,5,21,185,-9999
2,43.08535,-70.69133,12,ME,3,Acer,rubrum,red maple,Plantae,9,Red maple,498,Leaves,Colored leaves,2014,8,29,241,2456899,13,2014,11,8,312,2456970,5,10,72,-9999
2,43.08535,-70.69133,12,ME,28,Prunus,serotina,black cherry,Plantae,2106,Wild black cherry,371,Leaves,Budburst,2014,5,2,122,2456780,16,2014,5,8,128,2456786,4,3,7,-9999
2,43.08535,-70.69133,12,ME,28,Prunus,serotina,black cherry,Plantae,2106,Wild black cherry,467,Leaves,Increasing leaf size,2014,5,2,122,2456780,16,2014,5,29,149,2456807,8,7,28,-9999
2,43.08535,-70.69133,12,ME,28,Prunus,serotina,black cherry,Plantae,2106,Wild black cherry,471,Leaves,Falling leaves,2014,10,3,276,2456934,7,2014,11,8,312,2456970,5,7,37,-9999
2,43.08535,-70.69133,12,ME,28,Prunus,serotina,black cherry,Plantae,2106,Wild black cherry,483,Leaves,Leaves,2014,5,2,122,2456780,16,2014,11,1,305,2456963,7,22,184,-9999
2,43.08535,-70.69133,12,ME,28,Prunus,serotina,black cherry,Plantae,2106,Wild black cherry,498,Leaves,Colored leaves,2014,9,16,259,2456917,18,2014,11,1,305,2456963,7,8,47,-9999
2,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,2,Sugar maple 01,371,Leaves,Budburst,2014,5,2,122,2456780,3,2014,5,8,128,2456786,4,3,7,-9999
2,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,7,Sugar maple 02,371,Leaves,Budburst,2014,5,5,125,2456783,3,2014,5,8,128,2456786,4,2,4,-9999
2,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,2102,Sugar Maple 03,371,Leaves,Budburst,2014,5,2,122,2456780,3,2014,5,8,128,2456786,4,3,7,-9999
2,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,2,Sugar maple 01,467,Leaves,Increasing leaf size,2014,5,5,125,2456783,3,2014,5,20,140,2456798,9,5,16,-9999
2,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,7,Sugar maple 02,467,Leaves,Increasing leaf size,2014,5,8,128,2456786,3,2014,5,20,140,2456798,9,4,13,-9999
2,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,2102,Sugar Maple 03,467,Leaves,Increasing leaf size,2014,5,5,125,2456783,3,2014,5,20,140,2456798,9,5,16,-9999
2,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,2,Sugar maple 01,471,Leaves,Falling leaves,2014,10,3,276,2456934,7,2014,11,1,305,2456963,7,6,30,-9999
2,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,7,Sugar maple 02,471,Leaves,Falling leaves,2014,10,3,276,2456934,7,2014,10,25,298,2456956,7,5,23,-9999
2,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,2102,Sugar Maple 03,471,Leaves,Falling leaves,2014,8,29,241,2456899,13,2014,11,13,317,2456975,5,11,77,-9999
2,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,2,Sugar maple 01,483,Leaves,Leaves,2014,5,5,125,2456783,3,2014,10,25,298,2456956,7,20,174,-9999
2,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,7,Sugar maple 02,483,Leaves,Leaves,2014,5,8,128,2456786,3,2014,10,18,291,2456949,7,18,164,-9999
2,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,2102,Sugar Maple 03,483,Leaves,Leaves,2014,5,5,125,2456783,3,2014,11,8,312,2456970,5,22,188,-9999
