Dataset_ID,ObservedBy_Person_ID,Partner_Group,Site_ID,Site_Name,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Plant_Nickname,Patch,Phenophase_ID,Phenophase_Category,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No,NumYs_in_Series,NumDays_in_Series,Observed_Status_Conflict_Flag
'-9999','6',-9999,2,Home,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,2,Sugar maple 01,371,Leaves,Breaking leaf buds,2014,5,2,122,2456780,3,2014,5,8,128,2456786,4,3,0,-9999
'-9999','6',-9999,2,Home,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,7,Sugar maple 02,371,Leaves,Breaking leaf buds,2014,5,5,125,2456783,3,2014,5,8,128,2456786,4,2,0,-9999
'-9999','6',-9999,2,Home,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,2102,Sugar Maple 03,371,Leaves,Breaking leaf buds,2014,5,2,122,2456780,3,2014,5,8,128,2456786,4,3,0,-9999
'-9999','6',-9999,2,Home,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,2,Sugar maple 01,467,Leaves,Increasing leaf size,2014,5,5,125,2456783,3,2014,5,20,140,2456798,9,5,0,-9999
'-9999','6',-9999,2,Home,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,7,Sugar maple 02,467,Leaves,Increasing leaf size,2014,5,8,128,2456786,3,2014,5,20,140,2456798,9,4,0,-9999
'-9999','6',-9999,2,Home,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,2102,Sugar Maple 03,467,Leaves,Increasing leaf size,2014,5,5,125,2456783,3,2014,5,20,140,2456798,9,5,0,-9999
'-9999','6',-9999,2,Home,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,2,Sugar maple 01,471,Leaves,Falling leaves,2014,10,3,276,2456934,7,2014,11,1,305,2456963,7,6,0,-9999
'-9999','6',-9999,2,Home,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,7,Sugar maple 02,471,Leaves,Falling leaves,2014,10,3,276,2456934,7,2014,10,25,298,2456956,7,5,0,-9999
'-9999','6',-9999,2,Home,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,2102,Sugar Maple 03,471,Leaves,Falling leaves,2014,8,29,241,2456899,13,2014,11,13,317,2456975,5,11,0,-9999
'-9999','6',-9999,2,Home,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,2,Sugar maple 01,483,Leaves,Leaves,2014,5,5,125,2456783,3,2014,10,25,298,2456956,7,20,0,-9999
'-9999','6',-9999,2,Home,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,7,Sugar maple 02,483,Leaves,Leaves,2014,5,8,128,2456786,3,2014,10,18,291,2456949,7,18,0,-9999
'-9999','6',-9999,2,Home,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,2102,Sugar Maple 03,483,Leaves,Leaves,2014,5,5,125,2456783,3,2014,11,8,312,2456970,5,22,0,-9999
'-9999','6',-9999,2,Home,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,2,Sugar maple 01,498,Leaves,Colored leaves,2014,9,26,269,2456927,10,2014,10,25,298,2456956,7,6,0,-9999
'-9999','6',-9999,2,Home,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,7,Sugar maple 02,498,Leaves,Colored leaves,2014,9,26,269,2456927,10,2014,10,18,291,2456949,7,5,0,-9999
'-9999','6',-9999,2,Home,43.08535,-70.69133,12,ME,61,Acer,saccharum,sugar maple,Plantae,2102,Sugar Maple 03,498,Leaves,Colored leaves,2014,8,16,228,2456886,11,2014,11,8,312,2456970,5,11,0,-9999
'-9999','6',-9999,2,Home,43.08535,-70.69133,12,ME,99,Betula,papyrifera,paper birch,Plantae,2111,White birch,371,Leaves,Breaking leaf buds,2014,4,29,119,2456777,13,2014,5,16,136,2456794,4,6,0,-9999
'-9999','6',-9999,2,Home,43.08535,-70.69133,12,ME,99,Betula,papyrifera,paper birch,Plantae,2111,White birch,467,Leaves,Increasing leaf size,2014,5,5,125,2456783,3,2014,5,29,149,2456807,8,6,0,-9999
'-9999','6',-9999,2,Home,43.08535,-70.69133,12,ME,99,Betula,papyrifera,paper birch,Plantae,2111,White birch,471,Leaves,Falling leaves,2014,8,16,228,2456886,11,2014,11,18,322,2456980,3,13,0,-9999
'-9999','6',-9999,2,Home,43.08535,-70.69133,12,ME,99,Betula,papyrifera,paper birch,Plantae,2111,White birch,483,Leaves,Leaves,2014,5,5,125,2456783,3,2014,11,13,317,2456975,5,23,0,-9999
'-9999','6',-9999,2,Home,43.08535,-70.69133,12,ME,99,Betula,papyrifera,paper birch,Plantae,2111,White birch,498,Leaves,Colored leaves,2014,8,16,228,2456886,11,2014,11,13,317,2456975,5,12,0,-9999
'-9999','240',-9999,177,PPN_305711,43.970085,-74.21788,492,NY,61,Acer,saccharum,sugar maple,Plantae,3523,sugar maple-1,371,Leaves,Breaking leaf buds,2014,5,16,136,2456794,8,2014,5,16,136,2456794,1,1,0,-9999
'-9999','240',-9999,177,PPN_305711,43.970085,-74.21788,492,NY,61,Acer,saccharum,sugar maple,Plantae,3523,sugar maple-1,467,Leaves,Increasing leaf size,2014,5,17,137,2456795,9,2014,5,17,137,2456795,10,1,0,-9999
'-9999','240',-9999,177,PPN_305711,43.970085,-74.21788,492,NY,61,Acer,saccharum,sugar maple,Plantae,3523,sugar maple-1,471,Leaves,Falling leaves,2014,9,28,271,2456929,9,2014,10,3,276,2456934,-9999,2,0,-9999
'-9999','240',-9999,177,PPN_305711,43.970085,-74.21788,492,NY,61,Acer,saccharum,sugar maple,Plantae,3523,sugar maple-1,483,Leaves,Leaves,2014,5,17,137,2456795,9,2014,10,3,276,2456934,-9999,6,0,-9999
'-9999','240',-9999,177,PPN_305711,43.970085,-74.21788,492,NY,61,Acer,saccharum,sugar maple,Plantae,3523,sugar maple-1,498,Leaves,Colored leaves,2014,9,17,260,2456918,113,2014,10,3,276,2456934,-9999,4,0,-9999
'-9999','1070',-9999,974,Lower Vine Brook at North Street,42.466019,-71.212372,51,MA,62,Alnus,incana,gray alder,Plantae,37271,gray alder-1,371,Leaves,Breaking leaf buds,2014,4,25,115,2456773,4,2014,4,25,115,2456773,7,1,0,-9999
'-9999','1070',-9999,974,Lower Vine Brook at North Street,42.466019,-71.212372,51,MA,62,Alnus,incana,gray alder,Plantae,64440,gray alder-2,371,Leaves,Breaking leaf buds,2014,4,25,115,2456773,4,2014,4,25,115,2456773,7,1,0,-9999
'-9999','1070',-9999,974,Lower Vine Brook at North Street,42.466019,-71.212372,51,MA,62,Alnus,incana,gray alder,Plantae,37271,gray alder-1,467,Leaves,Increasing leaf size,2014,5,2,122,2456780,7,2014,5,15,135,2456793,-9999,3,0,-9999
