Station,Elevation,Latitude,Longitude,False Springs,200,115,300,250,250/60,50/250/60,50/250/75,50/150/60,10/150-60,hf.gdd
"Kempten, GM",705,47.7242,10.3364,8,5,20,2,2,7,16,8,33,5,6
"Augsburg, GM",461,48.4264,10.9431,8,4,14,2,2,4,7,5,24,3,2
"Bamberg, GM",240,49.8753,10.9217,7,10,18,6,7,13,22,13,31,11,6
"Jena, GM",155,50.9267,11.5842,4,4,6,2,2,5,8,5,14,5,3
"Hannover, GM",55,52.4656,9.6794,6,3,10,0,2,4,10,7,21,3,4
"Bremen, GM",4,53.0464,8.7992,5,5,10,2,4,6,7,5,17,2,5
"Hamburg, GM",11,53.635,9.99,4,2,8,0,1,3,6,3,16,0,2
"Schleswig, GM",43,54.5289,9.5492,0,0,3,0,0,0,1,0,5,0,0
"Flyvestation, DA",3,57.093,9.849,0,0,0,0,0,0,0,0,0,0,0
"Oslo, NO",94,59.9428,10.7206,0,0,5,0,0,0,0,0,7,0,0
