STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TAVG,TMAX,TMIN,TOBS
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860101,-26.7,-22.5,-29.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860102,-23.1,-21.9,-29.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860103,-28.8,-19.6,-34.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860104,-24.2,-23.2,-28.8,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860105,-24.4,-18.7,-28.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860106,-19.4,-13.4,-22.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860107,-18.8,-12.7,-22.6,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860108,-18.8,-15.8,-24.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860109,-18.9,-15.7,-23.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860110,-14.4,-11.4,-15.8,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860111,-15.2,-13.5,-23.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860112,-15.9,-5.0,-22.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860113,-13.6,-10.1,-18.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860114,-12.5,-7.4,-20.7,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860115,-18.8,-16.9,-22.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860116,-19.3,-17.3,-27.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860117,-21.7,-16.8,-24.7,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860118,-17.8,-16.8,-20.9,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860119,-22.6,-20.7,-25.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860120,-23.8,-22.5,-26.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860121,-28.8,-26.4,-38.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860122,-35.9,-23.5,-40.9,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860123,-21.4,-16.7,-23.9,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860124,-19.1,-16.8,-22.9,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860125,-24.9,-16.2,-30.2,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860126,-15.1,-10.9,-17.6,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860127,-16.8,-15.2,-21.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860128,-21.3,-20.2,-30.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860129,-29.8,-26.2,-35.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860130,-30.2,-19.6,-32.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860131,-19.1,-16.0,-20.2,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860201,-16.8,-12.5,-22.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860202,-12.7,-6.7,-17.2,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860203,-7.2,1.1,-13.8,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860204,-8.6,-7.0,-14.2,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860205,-15.1,-12.6,-25.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860206,-20.6,-15.8,-29.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860207,-26.5,-23.3,-29.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860208,-23.3,-16.4,-26.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860209,-20.9,-15.4,-28.4,-9999
