"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","col12","col13"
"1","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2","1","-20.0","-8.4","-0.2","-2.1","8.0","11.2","17.7","12.0","13.2","8.7","2.6","-0.3"
"3","2","-8.7","-18.0","-0.1","-5.7","6.1","11.9","16.9","11.6","13.2","10.6","-2.1","0.2"
"4","3","-14.4","-17.0","0.6","-0.6","7.7","9.1","16.7","13.4","13.2","9.1","-3.3","1.7"
"5","4","-23.0","-18.8","0.9","0.5","4.7","9.6","15.8","12.8","11.5","6.8","0.3","-3.1"
"6","5","-23.4","-15.8","-1.4","1.0","2.9","10.7","14.6","13.7","14.8","2.5","0.7","-5.5"
"7","6","-5.3","-12.7","0.4","3.4","1.7","13.4","14.5","12.5","9.1","1.9","2.9","0.3"
"8","7","-5.2","-17.4","1.3","2.1","2.4","12.5","14.7","15.2","13.3","4.8","2.9","0.4"
"9","8","-3.0","-24.6","4.3","1.5","4.6","13.3","15.9","15.0","11.6","6.6","5.4","0.0"
"10","9","-6.5","-29.0","-1.5","0.9","5.1","15.4","17.3","13.8","7.7","4.9","5.8","-0.2"
"11","10","-9.4","-19.2","-6.6","-0.2","7.3","17.7","14.9","13.8","9.2","0.1","-1.4","-0.7"
"12","11","-14.2","-23.0","-3.1","-3.9","7.8","18.7","13.0","14.1","10.5","0.9","-2.3","-1.6"
"13","12","-12.0","-24.8","-5.5","-5.3","5.1","20.3","15.2","13.1","9.6","2.8","-3.4","-2.2"
"14","13","-11.3","-25.0","-8.2","-6.2","5.6","20.0","14.2","13.8","12.6","1.5","4.1","-3.8"
"15","14","-12.2","-11.9","-10.0","-5.7","6.8","18.0","11.8","10.8","9.9","2.2","4.9","-6.9"
"16","15","-11.5","-11.8","-5.5","-5.4","10.9","18.5","12.7","12.7","9.1","3.5","1.5","-7.6"
"17","16","-20.9","-16.0","0.0","-5.9","10.4","20.0","12.9","12.2","7.9","7.9","0.8","-12.3"
"18","17","-15.0","-18.1","6.0","-6.4","10.3","22.9","14.3","15.1","6.2","9.8","-0.1","-8.4"
"19","18","-17.0","-14.5","-0.5","-5.0","12.8","21.4","16.8","13.3","8.3","9.6","-1.1","3.0"
"20","19","-26.2","-21.6","-3.2","-2.1","10.4","21.9","19.4","14.8","7.6","7.8","-6.7","0.8"
"21","20","-18.5","-12.7","3.0","-1.0","6.2","18.8","20.2","15.2","13.4","7.5","-5.6","-11.5"
"22","21","-12.0","-5.4","3.1","-0.1","8.0","14.7","20.9","12.3","11.2","8.6","-1.3","-13.8"
"23","22","-6.9","-5.2","0.3","1.8","7.6","15.9","21.3","10.3","6.0","7.8","-1.2","-13.3"
"24","23","-8.5","-5.3","0.2","-0.4","7.3","16.9","17.4","12.1","8.2","7.3","-1.8","-6.5"
"25","24","-10.0","-3.2","-4.4","2.7","8.8","13.9","14.8","12.9","11.2","5.2","-0.9","-3.2"
"26","25","-11.2","-1.7","-6.4","3.7","10.1","13.5","17.8","12.9","5.1","0.1","0.6","-11.4"
"27","26","-13.8","-2.0","-5.2","2.2","9.0","14.5","15.2","13.7","6.0","-2.2","0.6","-13.8"
