"sp","term","df","sumsq","meansq","statistic","p.value"
"ACEPEN","chilling",1,635.405047867711,635.405047867711,8.19290176333725,0.0644540649841747
"ACEPEN","force",1,96.5147077331035,96.5147077331035,1.24445898223199,0.345924605608299
"ACEPEN","photoperiod",1,0.931232541477808,0.931232541477808,0.0120072963800864,0.919662945509109
"ACEPEN","chilling:force",1,8.18173913043487,8.18173913043487,0.105495203687556,0.766663631239373
"ACEPEN","chilling:photoperiod",1,35.5338808116312,35.5338808116312,0.458173248287509,0.546998752854893
"ACEPEN","force:photoperiod",1,128.366725248975,128.366725248975,1.65515834848249,0.288549495615873
"ACEPEN","Residuals",3,232.666666666667,77.5555555555555,NA,NA
"ACERUB","chilling",1,2.14285714285716,2.14285714285716,0.0404301507308361,0.843753747852679
"ACERUB","force",1,399.731194090539,399.731194090539,7.54188980015216,0.0166567542893732
"ACERUB","photoperiod",1,401.408216147406,401.408216147406,7.57353085226993,0.0164746140310723
"ACERUB","chilling:force",1,23.7457799676054,23.7457799676054,0.448021216212056,0.514988474186274
"ACERUB","chilling:photoperiod",1,48.6580094648164,48.6580094648164,0.918050306564983,0.355468665201624
"ACERUB","force:photoperiod",1,179.294922639411,179.294922639411,3.38282968220631,0.0888228171671128
"ACERUB","Residuals",13,689.019020547365,53.0014631190281,NA,NA
"ACESAC","force",1,24,24,7.60590360136938e+30,2.3083662425499e-16
"ACESAC","Residuals",1,3.15544362088405e-30,3.15544362088405e-30,NA,NA
"ALNINC","force",1,52.0833333333333,52.0833333333333,0.540657439446367,0.53869513432621
"ALNINC","Residuals",2,192.666666666667,96.3333333333333,NA,NA
"AROMEL","force",1,722,722,NA,NA
"BETALL","chilling",1,60.8617283950617,60.8617283950617,1.45616440007716,0.440537530239532
"BETALL","force",1,107.660196738628,107.660196738628,2.57585431650038,0.354732711815844
"BETALL","photoperiod",1,210.482156498963,210.482156498963,5.03595003342247,0.266871609886374
"BETALL","Residuals",1,41.7959183673468,41.7959183673468,NA,NA
"BETLEN","force",1,384,384,NA,NA
"BETLEN","photoperiod",1,31.9999999999996,31.9999999999996,NA,NA
