"ind","species","risk","force","photo","chill"
"ACEPEN01_HF","ACEPEN",35,0,0,0
"ACEPEN01_HF","ACEPEN",25,1,1,1
"ACEPEN02_HF","ACEPEN",47,0,0,0
"ACEPEN02_HF","ACEPEN",16,1,1,1
"ACEPEN03_HF","ACEPEN",47,0,0,0
"ACEPEN03_HF","ACEPEN",21,1,1,1
"ACEPEN04_HF","ACEPEN",23,1,1,1
"ACEPEN04_SH","ACEPEN",18,1,1,1
"ACEPEN04_SH","ACEPEN",47,0,0,0
"ACEPEN06_SH","ACEPEN",61,0,0,0
"ACEPEN07_SH","ACEPEN",43,0,0,0
"ACEPEN08_SH","ACEPEN",43,0,0,0
"ACEPEN08_SH","ACEPEN",18,1,1,1
"ACEPEN09_SH","ACEPEN",35,0,0,0
"ACEPEN09_SH","ACEPEN",25,1,1,1
"ACEPEN11_HF","ACEPEN",18,1,1,1
"ACEPEN11_HF","ACEPEN",35,0,0,0
"ACEPEN11_SH","ACEPEN",23,1,1,1
"ACEPEN11_SH","ACEPEN",35,0,0,0
"ACEPEN12_HF","ACEPEN",35,0,0,0
"ACEPEN12_HF","ACEPEN",23,1,1,1
"ACERUB05_SH","ACERUB",14,0,0,0
"ACERUB06_SH","ACERUB",14,1,1,1
"ACERUB07_SH","ACERUB",11,1,1,1
"ACERUB07_SH","ACERUB",35,0,0,0
"ACERUB08_SH","ACERUB",42,0,0,0
"ACERUB09_SH","ACERUB",22,0,0,0
"ACERUB09_SH","ACERUB",18,1,1,1
"ACERUB10_HF","ACERUB",29,0,0,0
"ACERUB10_HF","ACERUB",16,1,1,1
"ACERUB10_SH","ACERUB",29,0,0,0
"ACERUB10_SH","ACERUB",11,1,1,1
"ACERUB11_HF","ACERUB",9,1,1,1
"ACERUB11_HF","ACERUB",20,0,0,0
"ACERUB13_HF","ACERUB",18,1,1,1
"ACERUB13_HF","ACERUB",35,0,0,0
"ACERUB14_HF","ACERUB",35,0,0,0
"ACERUB14_HF","ACERUB",16,1,1,1
"ACERUB99_HF","ACERUB",28,0,0,0
"ACERUB99_HF","ACERUB",14,1,1,1
"ACESAC02_HF","ACESAC",14,0,0,0
"ACESAC03_SH","ACESAC",43,0,0,0
"ACESAC05_HF","ACESAC",7,1,1,1
"ACESAC05_HF","ACESAC",7,0,0,0
"ACESAC06_HF","ACESAC",14,0,0,0
"ACESAC07_SH","ACESAC",0,1,1,1
"ACESAC09_SH","ACESAC",7,1,1,1
"ACESAC09_SH","ACESAC",14,0,0,0
"ACESAC10_SH","ACESAC",7,1,1,1
"ACESAC10_SH","ACESAC",7,0,0,0
"ACESAC99_HF","ACESAC",7,1,1,1
"ACESAC99_HF","ACESAC",14,0,0,0
"ACESAC99_SH","ACESAC",7,1,1,1
"BETALL01_SH","BETALL",25,1,1,1
"BETALL01_SH","BETALL",29,0,0,0
"BETALL02_SH","BETALL",4,1,1,1
"BETALL02_SH","BETALL",21,0,0,0
"BETALL03_SH","BETALL",4,1,1,1
"BETALL03_SH","BETALL",14,0,0,0
"BETALL08_SH","BETALL",9,0,0,0
"BETALL08_SH","BETALL",16,1,1,1
"BETALL09_SH","BETALL",26,0,0,0
"BETALL09_SH","BETALL",16,1,1,1
"BETALL10_HF","BETALL",35,0,0,0
"BETALL10_HF","BETALL",25,1,1,1
"BETALL10_SH","BETALL",14,0,0,0
"BETALL10_SH","BETALL",9,1,1,1
"BETALL16_HF","BETALL",20,0,0,0
"BETALL16_HF","BETALL",11,1,1,1
"BETALL17_HF","BETALL",11,1,1,1
"BETALL17_HF","BETALL",29,0,0,0
"BETALL18_HF","BETALL",18,0,0,0
"BETALL18_HF","BETALL",30,1,1,1
"BETALL19_HF","BETALL",23,1,1,1
"BETALL19_HF","BETALL",9,0,0,0
"BETALL20_HF","BETALL",4,1,1,1
"BETALL20_HF","BETALL",35,0,0,0
