"id","sp","site","ind","warm","photo","chill","lday","bday","risk"
"ACEPEN01_HF_01","ACEPEN","HF","ACEPEN01_HF",15,12,2,43,13,30
"ACEPEN01_HF_02","ACEPEN","HF","ACEPEN01_HF",15,8,1,52,15,37
"ACEPEN01_HF_03","ACEPEN","HF","ACEPEN01_HF",15,12,0,48,20,28
"ACEPEN01_HF_04","ACEPEN","HF","ACEPEN01_HF",20,8,2,41,24,17
"ACEPEN01_HF_05","ACEPEN","HF","ACEPEN01_HF",20,8,0,34,18,16
"ACEPEN01_HF_07","ACEPEN","HF","ACEPEN01_HF",20,12,2,27,14,13
"ACEPEN01_HF_10","ACEPEN","HF","ACEPEN01_HF",15,8,0,68,33,35
"ACEPEN01_HF_11","ACEPEN","HF","ACEPEN01_HF",20,12,1,38,13,25
"ACEPEN01_HF_12","ACEPEN","HF","ACEPEN01_HF",15,12,1,37,13,24
"ACEPEN02_HF_01","ACEPEN","HF","ACEPEN02_HF",15,8,1,44,9,35
"ACEPEN02_HF_02","ACEPEN","HF","ACEPEN02_HF",15,12,0,40,20,20
"ACEPEN02_HF_04","ACEPEN","HF","ACEPEN02_HF",15,8,0,68,21,47
"ACEPEN02_HF_06","ACEPEN","HF","ACEPEN02_HF",20,8,0,40,27,13
"ACEPEN02_HF_07","ACEPEN","HF","ACEPEN02_HF",15,12,2,37,13,24
"ACEPEN02_HF_10","ACEPEN","HF","ACEPEN02_HF",20,8,2,50,24,26
"ACEPEN02_HF_11","ACEPEN","HF","ACEPEN02_HF",20,12,1,24,8,16
"ACEPEN02_HF_12","ACEPEN","HF","ACEPEN02_HF",15,12,1,30,8,22
"ACEPEN03_HF_02","ACEPEN","HF","ACEPEN03_HF",20,12,0,33,13,20
"ACEPEN03_HF_03","ACEPEN","HF","ACEPEN03_HF",20,8,2,31,13,18
"ACEPEN03_HF_04","ACEPEN","HF","ACEPEN03_HF",15,12,0,40,20,20
"ACEPEN03_HF_05","ACEPEN","HF","ACEPEN03_HF",15,12,1,30,8,22
"ACEPEN03_HF_06","ACEPEN","HF","ACEPEN03_HF",15,8,0,68,21,47
"ACEPEN03_HF_08","ACEPEN","HF","ACEPEN03_HF",20,12,1,24,3,21
"ACEPEN03_HF_09","ACEPEN","HF","ACEPEN03_HF",20,12,2,36,20,16
"ACEPEN03_HF_10","ACEPEN","HF","ACEPEN03_HF",20,8,0,40,18,22
"ACEPEN03_HF_11","ACEPEN","HF","ACEPEN03_HF",15,12,2,50,13,37
"ACEPEN04_HF_01","ACEPEN","HF","ACEPEN04_HF",20,12,2,27,14,13
"ACEPEN04_HF_02","ACEPEN","HF","ACEPEN04_HF",15,12,0,48,20,28
"ACEPEN04_HF_03","ACEPEN","HF","ACEPEN04_HF",20,8,0,68,18,50
"ACEPEN04_HF_05","ACEPEN","HF","ACEPEN04_HF",15,12,1,37,3,34
"ACEPEN04_HF_08","ACEPEN","HF","ACEPEN04_HF",15,8,1,44,9,35
