"species","tx","Freq"
"ACEPEN","CL0",1
"ACERUB","CL0",4
"ACESAC","CL0",0
"ALNINC","CL0",0
"BETALL","CL0",0
"BETPAP","CL0",0
"CORCOR","CL0",3
"FAGGRA","CL0",0
"FRANIG","CL0",3
"ILEMUC","CL0",3
"POPGRA","CL0",5
"PRUPEN","CL0",1
"QUERUB","CL0",3
"VACMYR","CL0",1
"VIBLAN","CL0",0
"ACEPEN","CL1",0
"ACERUB","CL1",4
"ACESAC","CL1",0
"ALNINC","CL1",0
"BETALL","CL1",2
"BETPAP","CL1",0
"CORCOR","CL1",0
"FAGGRA","CL1",0
"FRANIG","CL1",0
"ILEMUC","CL1",4
"POPGRA","CL1",5
"PRUPEN","CL1",0
"QUERUB","CL1",4
"VACMYR","CL1",0
"VIBLAN","CL1",0
"ACEPEN","CL2",1
"ACERUB","CL2",3
"ACESAC","CL2",0
"ALNINC","CL2",0
"BETALL","CL2",1
"BETPAP","CL2",2
"CORCOR","CL2",0
"FAGGRA","CL2",1
"FRANIG","CL2",0
"ILEMUC","CL2",1
"POPGRA","CL2",1
"PRUPEN","CL2",0
"QUERUB","CL2",4
"VACMYR","CL2",0
"VIBLAN","CL2",0
"ACEPEN","CS0",2
"ACERUB","CS0",4
"ACESAC","CS0",0
"ALNINC","CS0",2
"BETALL","CS0",0
"BETPAP","CS0",0
"CORCOR","CS0",3
"FAGGRA","CS0",0
"FRANIG","CS0",2
"ILEMUC","CS0",5
"POPGRA","CS0",1
"PRUPEN","CS0",0
"QUERUB","CS0",0
"VACMYR","CS0",2
"VIBLAN","CS0",0
"ACEPEN","CS1",0
"ACERUB","CS1",0
"ACESAC","CS1",0
"ALNINC","CS1",0
"BETALL","CS1",1
"BETPAP","CS1",0
"CORCOR","CS1",0
"FAGGRA","CS1",0
"FRANIG","CS1",0
"ILEMUC","CS1",2
"POPGRA","CS1",4
"PRUPEN","CS1",0
"QUERUB","CS1",5
"VACMYR","CS1",0
"VIBLAN","CS1",0
"ACEPEN","CS2",0
"ACERUB","CS2",3
"ACESAC","CS2",0
"ALNINC","CS2",0
"BETALL","CS2",0
"BETPAP","CS2",0
"CORCOR","CS2",0
"FAGGRA","CS2",0
"FRANIG","CS2",0
"ILEMUC","CS2",3
"POPGRA","CS2",3
"PRUPEN","CS2",0
"QUERUB","CS2",3
"VACMYR","CS2",0
"VIBLAN","CS2",0
"ACEPEN","WL0",0
"ACERUB","WL0",2
"ACESAC","WL0",0
"ALNINC","WL0",1
"BETALL","WL0",2
"BETPAP","WL0",0
"CORCOR","WL0",2
"FAGGRA","WL0",0
"FRANIG","WL0",1
"ILEMUC","WL0",1
"POPGRA","WL0",4
"PRUPEN","WL0",0
"QUERUB","WL0",1
"VACMYR","WL0",2
"VIBLAN","WL0",0
"ACEPEN","WL1",0
"ACERUB","WL1",1
"ACESAC","WL1",0
"ALNINC","WL1",0
"BETALL","WL1",0
"BETPAP","WL1",0
"CORCOR","WL1",0
"FAGGRA","WL1",0
"FRANIG","WL1",0
"ILEMUC","WL1",1
"POPGRA","WL1",3
"PRUPEN","WL1",0
"QUERUB","WL1",1
"VACMYR","WL1",0
"VIBLAN","WL1",0
"ACEPEN","WL2",0
"ACERUB","WL2",0
"ACESAC","WL2",1
"ALNINC","WL2",0
"BETALL","WL2",1
"BETPAP","WL2",1
"CORCOR","WL2",0
"FAGGRA","WL2",0
"FRANIG","WL2",0
"ILEMUC","WL2",0
"POPGRA","WL2",2
"PRUPEN","WL2",0
"QUERUB","WL2",2
"VACMYR","WL2",0
"VIBLAN","WL2",0
"ACEPEN","WS0",0
"ACERUB","WS0",2
"ACESAC","WS0",1
"ALNINC","WS0",1
"BETALL","WS0",0
"BETPAP","WS0",0
"CORCOR","WS0",0
"FAGGRA","WS0",0
"FRANIG","WS0",2
"ILEMUC","WS0",2
"POPGRA","WS0",4
"PRUPEN","WS0",1
"QUERUB","WS0",1
"VACMYR","WS0",3
"VIBLAN","WS0",0
"ACEPEN","WS1",1
"ACERUB","WS1",3
"ACESAC","WS1",0
"ALNINC","WS1",0
"BETALL","WS1",0
"BETPAP","WS1",1
"CORCOR","WS1",0
"FAGGRA","WS1",0
"FRANIG","WS1",0
"ILEMUC","WS1",3
"POPGRA","WS1",2
"PRUPEN","WS1",0
"QUERUB","WS1",6
"VACMYR","WS1",0
"VIBLAN","WS1",0
"ACEPEN","WS2",0
"ACERUB","WS2",2
"ACESAC","WS2",0
"ALNINC","WS2",0
"BETALL","WS2",1
"BETPAP","WS2",1
"CORCOR","WS2",0
"FAGGRA","WS2",0
"FRANIG","WS2",0
"ILEMUC","WS2",1
"POPGRA","WS2",2
"PRUPEN","WS2",0
"QUERUB","WS2",2
"VACMYR","WS2",0
"VIBLAN","WS2",1
