"id","species","site","lday","bday","chilling","warm","photo","treatcode","risk"
"ACEPEN01_HF_01","ACEPEN","HF",43,13,2,15,12,"CL2",30
"ACEPEN01_HF_02","ACEPEN","HF",52,15,1,15,8,"CS1",37
"ACEPEN01_HF_03","ACEPEN","HF",48,20,0,15,12,"CL0",28
"ACEPEN01_HF_04","ACEPEN","HF",41,24,2,20,8,"WS2",17
"ACEPEN01_HF_05","ACEPEN","HF",34,18,0,20,8,"WS0",16
"ACEPEN01_HF_06","ACEPEN","HF",NA,17,2,15,8,"CS2",NA
"ACEPEN01_HF_07","ACEPEN","HF",27,14,2,20,12,"WL2",13
"ACEPEN01_HF_08","ACEPEN","HF",26,26,0,20,12,"WL0",0
"ACEPEN01_HF_10","ACEPEN","HF",68,33,0,15,8,"CS0",35
"ACEPEN01_HF_11","ACEPEN","HF",38,13,1,20,12,"WL1",25
"ACEPEN01_HF_12","ACEPEN","HF",37,13,1,15,12,"CL1",24
"ACEPEN02_HF_01","ACEPEN","HF",44,9,1,15,8,"CS1",35
"ACEPEN02_HF_02","ACEPEN","HF",40,20,0,15,12,"CL0",20
"ACEPEN02_HF_03","ACEPEN","HF",NA,13,2,15,8,"CS2",NA
"ACEPEN02_HF_04","ACEPEN","HF",68,21,0,15,8,"CS0",47
"ACEPEN02_HF_05","ACEPEN","HF",NA,NA,0,20,12,"WL0",NA
"ACEPEN02_HF_06","ACEPEN","HF",40,27,0,20,8,"WS0",13
"ACEPEN02_HF_07","ACEPEN","HF",37,13,2,15,12,"CL2",24
"ACEPEN02_HF_09","ACEPEN","HF",NA,14,2,20,12,"WL2",NA
"ACEPEN02_HF_10","ACEPEN","HF",50,24,2,20,8,"WS2",26
"ACEPEN02_HF_11","ACEPEN","HF",24,8,1,20,12,"WL1",16
"ACEPEN02_HF_12","ACEPEN","HF",30,8,1,15,12,"CL1",22
"ACEPEN03_HF_01","ACEPEN","HF",NA,13,2,15,8,"CS2",NA
"ACEPEN03_HF_02","ACEPEN","HF",33,13,0,20,12,"WL0",20
"ACEPEN03_HF_03","ACEPEN","HF",31,13,2,20,8,"WS2",18
"ACEPEN03_HF_04","ACEPEN","HF",40,20,0,15,12,"CL0",20
"ACEPEN03_HF_05","ACEPEN","HF",30,8,1,15,12,"CL1",22
"ACEPEN03_HF_06","ACEPEN","HF",68,21,0,15,8,"CS0",47
"ACEPEN03_HF_08","ACEPEN","HF",24,3,1,20,12,"WL1",21
"ACEPEN03_HF_09","ACEPEN","HF",36,20,2,20,12,"WL2",16
"ACEPEN03_HF_10","ACEPEN","HF",40,18,0,20,8,"WS0",22
"ACEPEN03_HF_11","ACEPEN","HF",50,13,2,15,12,"CL2",37
"ACEPEN03_HF_12","ACEPEN","HF",NA,3,1,15,8,"CS1",NA
"ACEPEN04_HF_01","ACEPEN","HF",27,14,2,20,12,"WL2",13
"ACEPEN04_HF_02","ACEPEN","HF",48,20,0,15,12,"CL0",28
"ACEPEN04_HF_03","ACEPEN","HF",68,18,0,20,8,"WS0",50
"ACEPEN04_HF_05","ACEPEN","HF",37,3,1,15,12,"CL1",34
"ACEPEN04_HF_06","ACEPEN","HF",NA,21,0,15,8,"CS0",NA
"ACEPEN04_HF_07","ACEPEN","HF",NA,NA,2,15,8,"CS2",NA
"ACEPEN04_HF_08","ACEPEN","HF",44,9,1,15,8,"CS1",35
"ACEPEN04_HF_09","ACEPEN","HF",31,13,2,20,8,"WS2",18
"ACEPEN04_HF_10","ACEPEN","HF",31,8,1,20,12,"WL1",23
"ACEPEN04_HF_11","ACEPEN","HF",29,13,0,20,12,"WL0",16
"ACEPEN04_HF_12","ACEPEN","HF",NA,13,2,15,12,"CL2",NA
"ACEPEN04_SH_01","ACEPEN","SH",NA,14,2,20,12,"WL2",NA
"ACEPEN04_SH_02","ACEPEN","SH",42,13,0,20,12,"WL0",29
"ACEPEN04_SH_03","ACEPEN","SH",43,13,2,15,12,"CL2",30
"ACEPEN04_SH_04","ACEPEN","SH",NA,15,1,15,8,"CS1",NA
"ACEPEN04_SH_05","ACEPEN","SH",40,18,0,20,8,"WS0",22
"ACEPEN04_SH_06","ACEPEN","SH",37,13,1,15,12,"CL1",24
"ACEPEN04_SH_07","ACEPEN","SH",NA,13,2,15,8,"CS2",NA
"ACEPEN04_SH_08","ACEPEN","SH",31,13,1,20,12,"WL1",18
"ACEPEN04_SH_09","ACEPEN","SH",50,24,2,20,8,"WS2",26
"ACEPEN04_SH_11","ACEPEN","SH",68,21,0,15,8,"CS0",47
"ACEPEN04_SH_12","ACEPEN","SH",54,32,0,15,12,"CL0",22
"ACEPEN06_SH_01","ACEPEN","SH",33,18,0,20,12,"WL0",15
"ACEPEN06_SH_02","ACEPEN","SH",27,20,2,20,12,"WL2",7
"ACEPEN06_SH_03","ACEPEN","SH",40,18,0,20,8,"WS0",22
"ACEPEN06_SH_04","ACEPEN","SH",82,21,0,15,8,"CS0",61
"ACEPEN06_SH_05","ACEPEN","SH",44,13,2,15,8,"CS2",31
"ACEPEN06_SH_06","ACEPEN","SH",51,8,1,15,12,"CL1",43
"ACEPEN06_SH_07","ACEPEN","SH",44,9,1,15,8,"CS1",35
"ACEPEN06_SH_08","ACEPEN","SH",NA,8,1,20,12,"WL1",NA
"ACEPEN06_SH_09","ACEPEN","SH",30,13,2,15,12,"CL2",17
"ACEPEN06_SH_10","ACEPEN","SH",48,20,0,15,12,"CL0",28
"ACEPEN06_SH_11","ACEPEN","SH",NA,13,2,20,8,"WS2",NA
"ACEPEN07_SH_01","ACEPEN","SH",NA,23,1,15,8,"CS1",NA
"ACEPEN07_SH_02","ACEPEN","SH",41,24,2,20,8,"WS2",17
"ACEPEN07_SH_03","ACEPEN","SH",NA,16,2,15,12,"CL2",NA
"ACEPEN07_SH_04","ACEPEN","SH",NA,13,1,20,12,"WL1",NA
"ACEPEN07_SH_05","ACEPEN","SH",82,39,0,15,8,"CS0",43
"ACEPEN07_SH_07","ACEPEN","SH",61,32,0,15,12,"CL0",29
"ACEPEN07_SH_08","ACEPEN","SH",NA,14,2,20,12,"WL2",NA
"ACEPEN07_SH_09","ACEPEN","SH",40,27,0,20,8,"WS0",13
"ACEPEN07_SH_10","ACEPEN","SH",NA,17,2,15,8,"CS2",NA
"ACEPEN07_SH_11","ACEPEN","SH",NA,17,1,15,12,"CL1",NA
"ACEPEN07_SH_12","ACEPEN","SH",42,26,0,20,12,"WL0",16
"ACEPEN08_SH_01","ACEPEN","SH",56,27,0,20,8,"WS0",29
"ACEPEN08_SH_02","ACEPEN","SH",57,13,1,15,12,"CL1",44
"ACEPEN08_SH_03","ACEPEN","SH",82,32,0,15,12,"CL0",50
"ACEPEN08_SH_04","ACEPEN","SH",NA,13,2,15,8,"CS2",NA
"ACEPEN08_SH_05","ACEPEN","SH",52,15,1,15,8,"CS1",37
"ACEPEN08_SH_06","ACEPEN","SH",82,39,0,15,8,"CS0",43
"ACEPEN08_SH_07","ACEPEN","SH",50,13,2,15,12,"CL2",37
"ACEPEN08_SH_09","ACEPEN","SH",31,13,1,20,12,"WL1",18
"ACEPEN08_SH_10","ACEPEN","SH",27,14,2,20,12,"WL2",13
"ACEPEN08_SH_11","ACEPEN","SH",41,24,2,20,8,"WS2",17
"ACEPEN08_SH_12","ACEPEN","SH",39,18,0,20,12,"WL0",21
"ACEPEN09_SH_01","ACEPEN","SH",44,9,1,15,8,"CS1",35
"ACEPEN09_SH_02","ACEPEN","SH",52,13,2,15,8,"CS2",39
"ACEPEN09_SH_03","ACEPEN","SH",NA,13,0,20,12,"WL0",NA
"ACEPEN09_SH_04","ACEPEN","SH",40,18,0,20,8,"WS0",22
"ACEPEN09_SH_05","ACEPEN","SH",48,20,0,15,12,"CL0",28
"ACEPEN09_SH_06","ACEPEN","SH",NA,14,2,20,12,"WL2",NA
"ACEPEN09_SH_07","ACEPEN","SH",68,33,0,15,8,"CS0",35
"ACEPEN09_SH_08","ACEPEN","SH",41,13,2,20,8,"WS2",28
"ACEPEN09_SH_10","ACEPEN","SH",30,8,1,15,12,"CL1",22
"ACEPEN09_SH_11","ACEPEN","SH",37,13,2,15,12,"CL2",24
"ACEPEN09_SH_12","ACEPEN","SH",38,13,1,20,12,"WL1",25
"ACEPEN11_HF_01","ACEPEN","HF",41,24,2,20,8,"WS2",17
"ACEPEN11_HF_02","ACEPEN","HF",37,13,2,15,12,"CL2",24
"ACEPEN11_HF_03","ACEPEN","HF",31,13,1,20,12,"WL1",18
"ACEPEN11_HF_04","ACEPEN","HF",68,33,0,15,8,"CS0",35
"ACEPEN11_HF_05","ACEPEN","HF",36,14,2,20,12,"WL2",22
"ACEPEN11_HF_06","ACEPEN","HF",39,6,0,20,12,"WL0",33
"ACEPEN11_HF_07","ACEPEN","HF",NA,26,0,20,8,"WS0",NA
"ACEPEN11_HF_08","ACEPEN","HF",44,17,2,15,8,"CS2",27
"ACEPEN11_HF_09","ACEPEN","HF",30,13,1,15,12,"CL1",17
"ACEPEN11_HF_11","ACEPEN","HF",NA,23,1,15,8,"CS1",NA
"ACEPEN11_HF_12","ACEPEN","HF",48,32,0,15,12,"CL0",16
"ACEPEN11_SH_01","ACEPEN","SH",41,24,2,20,8,"WS2",17
"ACEPEN11_SH_02","ACEPEN","SH",NA,17,1,15,12,"CL1",NA
"ACEPEN11_SH_03","ACEPEN","SH",31,8,1,20,12,"WL1",23
"ACEPEN11_SH_04","ACEPEN","SH",50,13,2,15,12,"CL2",37
"ACEPEN11_SH_05","ACEPEN","SH",48,20,0,15,12,"CL0",28
"ACEPEN11_SH_07","ACEPEN","SH",NA,15,1,15,8,"CS1",NA
"ACEPEN11_SH_08","ACEPEN","SH",52,13,2,15,8,"CS2",39
"ACEPEN11_SH_09","ACEPEN","SH",NA,26,0,20,12,"WL0",NA
"ACEPEN11_SH_10","ACEPEN","SH",NA,27,2,20,12,"WL2",NA
"ACEPEN11_SH_11","ACEPEN","SH",68,33,0,15,8,"CS0",35
"ACEPEN11_SH_12","ACEPEN","SH",43,26,0,20,8,"WS0",17
"ACEPEN12_HF_01","ACEPEN","HF",33,26,0,20,12,"WL0",7
"ACEPEN12_HF_02","ACEPEN","HF",48,20,0,15,12,"CL0",28
"ACEPEN12_HF_03","ACEPEN","HF",43,8,1,15,12,"CL1",35
"ACEPEN12_HF_04","ACEPEN","HF",68,33,0,15,8,"CS0",35
"ACEPEN12_HF_05","ACEPEN","HF",NA,13,2,15,12,"CL2",NA
"ACEPEN12_HF_06","ACEPEN","HF",40,18,0,20,8,"WS0",22
"ACEPEN12_HF_07","ACEPEN","HF",NA,14,2,20,12,"WL2",NA
"ACEPEN12_HF_08","ACEPEN","HF",50,24,2,20,8,"WS2",26
"ACEPEN12_HF_10","ACEPEN","HF",52,9,1,15,8,"CS1",43
"ACEPEN12_HF_11","ACEPEN","HF",31,8,1,20,12,"WL1",23
"ACEPEN12_HF_12","ACEPEN","HF",NA,17,2,15,8,"CS2",NA
"ACERUB05_SH_01","ACERUB","SH",52,44,1,15,8,"CS1",8
"ACERUB05_SH_02","ACERUB","SH",43,30,2,15,12,"CL2",13
"ACERUB05_SH_03","ACERUB","SH",56,31,2,20,8,"WS2",25
"ACERUB05_SH_04","ACERUB","SH",68,56,0,20,8,"WS0",12
"ACERUB05_SH_05","ACERUB","SH",44,30,2,15,8,"CS2",14
"ACERUB05_SH_06","ACERUB","SH",NA,20,2,20,12,"WL2",NA
"ACERUB05_SH_07","ACERUB","SH",68,54,0,15,12,"CL0",14
"ACERUB05_SH_08","ACERUB","SH",82,68,0,15,8,"CS0",14
"ACERUB05_SH_09","ACERUB","SH",NA,NA,1,20,12,"WL1",NA
"ACERUB05_SH_10","ACERUB","SH",NA,NA,0,20,12,"WL0",NA
"ACERUB05_SH_11","ACERUB","SH",37,22,1,15,12,"CL1",15
"ACERUB06_SH_01","ACERUB","SH",NA,22,1,15,12,"CL1",NA
