"doy","phase","risk"
75,NA,3
76,NA,3
77,NA,3
78,NA,3
79,NA,3
80,NA,3
81,NA,3
82,NA,3
83,NA,3
84,NA,3
85,NA,3
86,NA,3
87,NA,3
88,NA,3
89,NA,3
90,NA,3
91,NA,3
92,NA,3
93,NA,3
94,NA,3
95,"BB",6.5
96,NA,10
97,NA,10
98,NA,10
99,NA,10
100,"LO",7
101,NA,4
102,NA,4
103,NA,4
104,NA,4
105,NA,4
106,NA,4
107,NA,4
108,NA,4
109,NA,4
110,NA,4
111,NA,4
112,NA,4
113,NA,4
114,NA,4
115,NA,4
116,NA,4
117,NA,4
118,NA,4
119,NA,4
120,NA,4
121,NA,4
122,NA,4
123,NA,4
124,NA,4
125,NA,4
126,NA,4
127,NA,4
128,NA,4
129,NA,4
130,NA,4
131,NA,4
132,NA,4
133,NA,4
134,NA,4
135,NA,4
136,NA,4
137,NA,4
138,NA,4
139,NA,4
140,NA,4
141,NA,4
142,NA,4
143,NA,4
144,NA,4
145,NA,4
146,NA,4
147,NA,4
148,NA,4
149,NA,4
150,NA,4
