"year","m.bb","colors"
1990,173,"gray70"
1991,183.25,"gray70"
1992,122.875,"gray70"
1993,117.25,"gray70"
1994,130.875,"gray70"
1995,117.5,"gray70"
1996,87.25,"gray70"
1997,65.75,"firebrick4"
1998,104.25,"gray70"
1999,90.875,"gray70"
2000,135,"gray70"
2001,94.75,"gray70"
2002,161.75,"gray70"
2003,193.15,"gray70"
2004,143.0875,"gray70"
2005,150.9625,"gray70"
2006,184.025,"gray70"
2007,162.575,"gray70"
2008,159.075,"gray70"
2009,142.725,"gray70"
2010,166.625,"gray70"
2011,160.4125,"gray70"
2012,193.5875,"firebrick4"
2013,129.3875,"gray70"
2014,171.1625,"gray70"
