"ID","New","site"
"ACEPEN05_WM","ACEPEN_01","WM"
"ACEPEN12_HF","ACEPEN_02","HF"
"ACEPEN12_HF","ACEPEN_03","HF"
"ACEPEN06_WM","ACEPEN_04","WM"
"ACEPEN06_WM","ACEPEN_05","WM"
"ACEPEN12_HF","ACEPEN_06","HF"
"ACEPEN05_WM","ACEPEN_07","WM"
"ACEPEN05_WM","ACEPEN_08","WM"
"ACEPEN05_WM","ACEPEN_09","WM"
"ACEPEN06_WM","ACEPEN_10","WM"
"ACEPEN06_WM","ACEPEN_11","WM"
"ACEPEN05_WM","ACEPEN_12","WM"
"ACEPEN06_WM","ACEPEN_13","WM"
"ACEPEN06_WM","ACEPEN_14","WM"
"ACEPEN06_WM","ACEPEN_15","WM"
"ALNINC01_HF","ALNINC_01","HF"
"ALNINC05_SH","ALNINC_02","SH"
"ALNINC07_GR","ALNINC_03","GR"
"ALNINC08_HF","ALNINC_04","HF"
"ALNINC07_GR","ALNINC_05","GR"
"ALNINC05_SH","ALNINC_06","SH"
"ALNINC01_WM","ALNINC_07","WM"
"ALNINC07_SH","ALNINC_08","SH"
"ALNINC07_GR","ALNINC_09","GR"
"ALNINC07_GR","ALNINC_10","GR"
"ALNINC09_HF","ALNINC_11","HF"
"ALNINC05_SH","ALNINC_12","SH"
"ALNINC05_HF","ALNINC_13","HF"
"ALNINC02_WM","ALNINC_14","WM"
"ALNINC07_SH","ALNINC_15","SH"
"ALNINC02_HF","ALNINC_16","HF"
"ALNINC07_SH","ALNINC_17","SH"
"ALNINC07_GR","ALNINC_18","GR"
"ALNINC06_HF","ALNINC_19","HF"
"ALNINC02_WM","ALNINC_20","WM"
"ALNINC02_HF","ALNINC_21","HF"
"ALNINC01_WM","ALNINC_22","WM"
"ALNINC01_WM","ALNINC_23","WM"
"ALNINC07_GR","ALNINC_24","GR"
"ALNINC02_WM","ALNINC_25","WM"
"ALNINC07_GR","ALNINC_26","GR"
"ALNINC06_HF","ALNINC_27","HF"
"ALNINC07_GR","ALNINC_28","GR"
"ALNINC02_WM","ALNINC_29","WM"
"ALNINC01_WM","ALNINC_30","WM"
"ALNINC07_SH","ALNINC_31","SH"
"ALNINC01_WM","ALNINC_32","WM"
"ALNINC07_SH","ALNINC_33","SH"
"ALNINC07_SH","ALNINC_34","SH"
"ALNINC05_HF","ALNINC_35","HF"
"ALNINC07_GR","ALNINC_36","GR"
"BETALL09_SH","BETALL_01","SH"
"BETALL13_GR","BETALL_02","GR"
"BETALL08_WM","BETALL_03","WM"
"BETALL13_GR","BETALL_04","GR"
"BETALL09_SH","BETALL_05","SH"
"BETALL09_WM","BETALL_06","WM"
"BETALL09_SH","BETALL_07","SH"
"BETALL13_GR","BETALL_08","GR"
"BETALL15_GR","BETALL_09","GR"
"BETALL08_WM","BETALL_10","WM"
"BETALL09_SH","BETALL_11","SH"
"BETALL04_SH","BETALL_12","SH"
"BETALL08_WM","BETALL_13","WM"
"BETALL09_WM","BETALL_14","WM"
"BETALL13_GR","BETALL_15","GR"
"BETALL15_GR","BETALL_16","GR"
"BETALL08_SH","BETALL_17","SH"
"BETALL08_WM","BETALL_18","WM"
"BETPOP06_GR","BETPOP_01","GR"
"BETPOP05_GR","BETPOP_02","GR"
"BETPOP06_GR","BETPOP_03","GR"
"BETPOP08_WM","BETPOP_04","WM"
"BETPOP05_HF","BETPOP_05","HF"
"BETPOP01_HF","BETPOP_06","HF"
"BETPOP06_GR","BETPOP_07","GR"
"BETPOP01_HF","BETPOP_08","HF"
"BETPOP03_HF","BETPOP_09","HF"
"BETPOP06_GR","BETPOP_10","GR"
"BETPOP05_HF","BETPOP_11","HF"
"BETPOP08_WM","BETPOP_12","WM"
